Three Card Game Paradox
Run 1 	Winning no B 	Chosen no B 	Removing no A 	Sticking Wins
Run 30 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 31 	Winning no A 	Chosen no A 	Removing no C 	Sticking Wins
Run 32 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 33 	Winning no C 	Chosen no C 	Removing no A 	Sticking Wins
Run 34 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 35 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 36 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 37 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 38 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Run 39 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Run 40 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 41 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 42 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 43 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 44 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 45 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 46 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 47 	Winning no A 	Chosen no A 	Removing no C 	Sticking Wins
Run 48 	Winning no B 	Chosen no B 	Removing no C 	Sticking Wins
Run 49 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Run 50 	Winning no B 	Chosen no B 	Removing no A 	Sticking Wins
Run 51 	Winning no A 	Chosen no A 	Removing no C 	Sticking Wins
Run 52 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 53 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 54 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Run 55 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 56 	Winning no A 	Chosen no A 	Removing no B 	Sticking Wins
Run 57 	Winning no C 	Chosen no C 	Removing no A 	Sticking Wins
Run 58 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 59 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 60 	Winning no B 	Chosen no B 	Removing no A 	Sticking Wins
Run 61 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 62 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 63 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 64 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 65 	Winning no C 	Chosen no C 	Removing no A 	Sticking Wins
Run 66 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 67 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 68 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 69 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 70 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 71 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 72 	Winning no A 	Chosen no A 	Removing no B 	Sticking Wins
Run 73 	Winning no A 	Chosen no A 	Removing no B 	Sticking Wins
Run 74 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 75 	Winning no B 	Chosen no A 	Removing no C 	Twisting Wins
Run 76 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 77 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 78 	Winning no B 	Chosen no A 	Removing no C 	Twisting Wins
Run 79 	Winning no B 	Chosen no B 	Removing no C 	Sticking Wins
Run 80 	Winning no C 	Chosen no C 	Removing no A 	Sticking Wins
Run 81 	Winning no C 	Chosen no C 	Removing no A 	Sticking Wins
Run 82 	Winning no B 	Chosen no A 	Removing no C 	Twisting Wins
Run 83 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 84 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 85 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Run 86 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 87 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 88 	Winning no C 	Chosen no C 	Removing no A 	Sticking Wins
Run 89 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 90 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 91 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 92 	Winning no B 	Chosen no B 	Removing no C 	Sticking Wins
Run 93 	Winning no B 	Chosen no B 	Removing no C 	Sticking Wins
Run 94 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 95 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 96 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 97 	Winning no A 	Chosen no A 	Removing no B 	Sticking Wins
Run 98 	Winning no B 	Chosen no A 	Removing no C 	Twisting Wins
Run 99 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 100 	Winning no A 	Chosen no A 	Removing no B 	Sticking Wins
Run 101 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 102 	Winning no B 	Chosen no B 	Removing no A 	Sticking Wins
Run 103 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Run 104 	Winning no A 	Chosen no A 	Removing no C 	Sticking Wins
Run 105 	Winning no B 	Chosen no B 	Removing no C 	Sticking Wins
Run 106 	Winning no A 	Chosen no A 	Removing no B 	Sticking Wins
Run 107 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 108 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Run 109 	Winning no C 	Chosen no C 	Removing no A 	Sticking Wins
Run 110 	Winning no B 	Chosen no B 	Removing no C 	Sticking Wins
Run 111 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 112 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Results:
Sticking wins: 42 times (37.500000 %)
Twisting wins: 70 times (62.500000 %)
It is better to twist.
The End
